Student_ID,Math,Science,English,History,Computer,Average_Score,Category
STU0103,79,43,50,75,91,67.6,Below Average
STU0104,93,49,60,87,80,73.8,Above Average
STU0105,72,65,48,62,92,67.8,Below Average
STU0106,44,94,69,54,45,61.2,Below Average
STU0107,74,96,58,75,91,78.8,Above Average
STU0108,90,86,45,76,52,69.8,Below Average
STU0109,72,77,95,99,60,80.6,Above Average
STU0110,97,66,58,91,85,79.4,Above Average
STU0111,99,42,48,70,57,63.2,Below Average
STU0112,89,41,54,52,48,56.8,Below Average
STU0113,56,64,59,71,85,67,Below Average
STU0114,75,51,40,50,68,56.8,Below Average
STU0115,41,61,93,63,51,61.8,Below Average
STU0116,91,70,75,84,47,73.4,Above Average
STU0117,41,51,47,81,80,60,Below Average
STU0118,67,94,93,45,42,68.2,Below Average
STU0119,73,87,66,75,42,68.6,Below Average
STU0120,94,94,84,87,64,84.6,Above Average
STU0121,72,96,66,69,48,70.2,Above Average
STU0122,71,78,98,62,88,79.4,Above Average
STU0123,42,73,84,68,79,69.2,Below Average
STU0124,62,74,56,71,49,62.4,Below Average
STU0125,50,51,72,51,56,56,Below Average
STU0126,69,45,61,97,60,66.4,Below Average
STU0127,65,41,40,72,95,62.6,Below Average
STU0128,57,96,73,71,64,72.2,Above Average
STU0129,43,85,60,65,61,62.8,Below Average
STU0130,41,47,60,83,76,61.4,Below Average
STU0131,41,74,87,98,50,70,Above Average
STU0132,55,79,42,73,56,61,Below Average
STU0133,73,53,54,67,50,59.4,Below Average
STU0134,89,60,55,97,80,76.2,Above Average
STU0135,73,53,41,62,52,56.2,Below Average
STU0136,51,68,83,43,49,58.8,Below Average
STU0137,51,43,62,85,55,59.2,Below Average
STU0138,53,82,43,97,76,70.2,Above Average
STU0139,94,96,87,71,50,79.6,Above Average
STU0140,93,80,40,89,49,70.2,Above Average
STU0141,95,40,72,71,69,69.4,Below Average
STU0142,77,55,63,68,49,62.4,Below Average
STU0143,76,89,64,49,73,70.2,Above Average
STU0144,62,77,78,82,63,72.4,Above Average
STU0145,57,94,44,55,77,65.4,Below Average
STU0146,49,43,83,82,73,66,Below Average
STU0147,69,97,45,67,41,63.8,Below Average
STU0148,83,68,70,92,99,82.4,Above Average
STU0149,89,49,61,99,52,70,Above Average
STU0150,43,87,91,89,87,79.4,Above Average
STU0151,70,57,45,65,78,63,Below Average
STU0152,78,84,40,80,63,69,Below Average
STU0153,86,46,46,83,90,70.2,Above Average
STU0154,68,41,87,47,44,57.4,Below Average
STU0155,64,79,53,62,87,69,Below Average
STU0156,41,93,98,72,42,69.2,Below Average
STU0157,81,89,66,42,89,73.4,Above Average
STU0158,41,70,77,88,76,70.4,Above Average
STU0159,68,78,54,51,84,67,Below Average
STU0160,56,59,49,81,67,62.4,Below Average
STU0161,83,86,60,71,59,71.8,Above Average
STU0162,85,62,87,46,44,64.8,Below Average
STU0163,65,73,42,58,50,57.6,Below Average
STU0164,96,89,55,65,96,80.2,Above Average
STU0165,75,62,91,51,83,72.4,Above Average
STU0166,50,52,83,91,73,69.8,Below Average
STU0167,49,63,57,65,74,61.6,Below Average
STU0168,44,78,81,90,76,73.8,Above Average
STU0169,68,93,81,90,54,77.2,Above Average
STU0170,56,47,85,84,54,65.2,Below Average
STU0171,74,84,77,53,68,71.2,Above Average
STU0172,81,58,50,98,97,76.8,Above Average
STU0173,40,97,55,45,81,63.6,Below Average
STU0174,96,69,49,62,85,72.2,Above Average
STU0175,70,71,42,80,58,64.2,Below Average
STU0176,54,81,76,54,43,61.6,Below Average
STU0177,41,66,91,75,55,65.6,Below Average
STU0178,54,89,80,83,98,80.8,Above Average
STU0179,41,61,99,95,72,73.6,Above Average
STU0180,76,84,43,41,54,59.6,Below Average
STU0181,94,98,64,88,98,88.4,Above Average
STU0182,98,87,55,53,99,78.4,Above Average
STU0183,96,63,64,93,65,76.2,Above Average
STU0184,93,95,67,85,80,84,Above Average
STU0185,40,93,88,40,53,62.8,Below Average
STU0186,43,74,61,66,99,68.6,Below Average
STU0187,93,59,61,80,59,70.4,Above Average
STU0188,47,52,84,61,96,68,Below Average
STU0189,72,45,98,96,98,81.8,Above Average
STU0190,64,63,90,93,64,74.8,Above Average
STU0191,93,45,49,58,72,63.4,Below Average
STU0192,75,56,45,56,46,55.6,Below Average
STU0193,70,73,62,95,83,76.6,Above Average
STU0194,84,72,69,74,67,73.2,Above Average
STU0195,50,67,86,56,94,70.6,Above Average
STU0196,69,94,81,44,57,69,Below Average
STU0197,63,55,69,59,90,67.2,Below Average
STU0198,83,89,52,69,91,76.8,Above Average
STU0199,79,74,50,60,42,61,Below Average
STU0200,70,94,42,95,81,76.4,Above Average
