Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
CUST00061,26,19190.09,30318.82,750,60,No
CUST00062,62,106522.71,58386.08,641,120,No
CUST00063,24,43072.87,94215.31,549,60,No
CUST00064,49,55787.1,48606.3,614,48,Yes
CUST00065,38,48027.04,35545.96,538,24,No
CUST00066,46,40501.47,112047.2,566,48,Yes
CUST00067,64,37932.94,20048.26,679,84,No
CUST00068,54,56856.11,192004.52,562,24,Yes
CUST00069,30,24767.11,50667.71,733,36,No
CUST00070,56,68717.6,237010.39,645,24,Yes
CUST00071,34,40648.31,27396.66,656,60,No
CUST00072,51,29480.04,66347.44,629,36,Yes
CUST00073,35,40034.39,61972.48,708,12,No
CUST00074,28,86311.42,261562.23,709,84,Yes
CUST00075,34,38526.41,61013.05,675,48,No
CUST00076,43,57601.51,73814.19,692,36,No
CUST00077,60,35279.94,108403.24,634,36,No
CUST00078,41,68945.03,111963.92,691,36,No
CUST00079,36,66734.58,36737.38,625,36,No
CUST00080,65,112631.19,188191.77,650,36,No
CUST00081,38,45297.01,111592.21,629,48,No
CUST00082,44,66230.39,83654.19,616,60,Yes
CUST00083,46,51232.55,92011.75,598,48,Yes
CUST00084,45,87828.59,58857.93,685,36,No
CUST00085,65,35472.94,80320.61,748,48,Yes
CUST00086,61,68545.46,189794.48,738,60,No
CUST00087,49,44908.67,78138.29,556,12,Yes
CUST00088,35,47625.11,83853.43,747,12,No
CUST00089,65,51087.17,39073.89,626,48,No
CUST00090,21,54913.15,60724.2,695,48,No
CUST00091,45,46522.76,44849.15,582,24,No
CUST00092,27,53993.61,105020.99,661,60,No
CUST00093,29,99723.15,208198.66,674,48,No
CUST00094,44,76378.18,255624.05,539,84,Yes
CUST00095,21,72483.89,52166.26,696,24,No
CUST00096,64,39934.95,91834.57,751,60,No
CUST00097,28,32854.42,68320.62,637,12,No
CUST00098,44,75348.95,154367.34,752,48,No
CUST00099,31,72709.04,226814.24,636,48,Yes
CUST00100,37,95101.67,106191.99,714,36,No
CUST00101,28,37354.5,23246.45,484,60,Yes
CUST00102,55,44209.86,111268.02,831,12,No
CUST00103,55,23440.77,35992.66,762,48,No
CUST00104,53,41084.57,22710.31,629,24,No
CUST00105,25,76761.36,96268.11,502,60,No
CUST00106,62,39738.55,56745.87,672,12,No
CUST00107,59,65395.97,153714.22,542,60,Yes
CUST00108,61,44993.51,45792.48,683,60,No
CUST00109,48,56716.8,98639.76,681,60,No
CUST00110,27,29247.19,56956.75,579,24,Yes
CUST00111,29,50936.97,95644.97,734,48,No
CUST00112,28,15000.0,51327.33,710,12,No
CUST00113,32,45066.6,28685.46,723,60,No
CUST00114,54,23536.01,78914.0,651,60,Yes
CUST00115,53,84347.25,189428.04,544,48,Yes
CUST00116,43,69552.23,200810.03,723,60,No
CUST00117,44,60476.0,108323.27,630,12,No
CUST00118,57,97192.89,180925.89,546,48,Yes
CUST00119,55,31983.89,100364.79,751,36,No
CUST00120,64,107614.8,343054.83,807,120,No
CUST00121,60,74569.45,90681.42,647,84,No
CUST00122,42,44070.69,48377.53,812,60,No
CUST00123,47,81717.96,162512.96,657,84,No
CUST00124,55,29797.15,95375.64,621,36,Yes
CUST00125,21,33825.45,49624.14,603,84,No
CUST00126,55,37277.11,91554.22,773,36,Yes
CUST00127,57,38636.78,101400.49,591,60,No
CUST00128,34,30471.56,86418.08,705,60,Yes
CUST00129,23,84998.37,186297.16,608,12,Yes
CUST00130,21,43630.67,74493.5,615,36,Yes
CUST00131,25,57447.53,195381.81,727,12,Yes
CUST00132,46,37924.09,88514.53,621,120,No
CUST00133,34,21606.05,58027.27,620,24,Yes
CUST00134,59,55355.2,84967.38,735,48,No
CUST00135,47,20733.07,52036.84,770,60,No
CUST00136,29,47529.92,60524.27,698,24,No
CUST00137,35,26483.0,32714.21,601,36,Yes
CUST00138,35,119883.32,316991.47,612,48,Yes
CUST00139,46,73873.78,152489.09,656,24,No
CUST00140,62,51410.06,131086.9,674,60,No
CUST00141,33,86566.48,113256.27,576,36,Yes
CUST00142,52,33495.21,76910.7,704,24,No
CUST00143,59,62602.83,114675.92,656,48,Yes
CUST00144,52,53632.72,122866.17,521,36,Yes
CUST00145,24,55205.01,75776.56,580,84,Yes
CUST00146,50,86903.98,229978.6,612,84,Yes
CUST00147,57,68160.56,198878.07,645,36,Yes
CUST00148,43,55822.13,71438.34,792,36,No
CUST00149,59,23278.85,32633.73,668,36,No
CUST00150,65,31824.1,79033.97,587,36,Yes
CUST00151,35,46387.3,119992.6,667,48,No
CUST00152,63,51124.42,133552.27,624,60,Yes
CUST00153,49,29478.26,75113.42,674,36,No
CUST00154,56,145111.04,243557.73,694,24,No
CUST00155,33,96991.37,163387.88,741,36,No
CUST00156,52,64276.75,81274.92,648,12,Yes
CUST00157,27,50635.93,49142.23,773,60,No
CUST00158,42,44556.17,114853.87,718,48,No
CUST00159,48,31940.71,24899.9,597,36,No
CUST00160,22,50760.12,168187.41,816,36,No
CUST00161,62,55049.53,164050.84,675,84,No
CUST00162,65,28034.96,86137.9,587,12,Yes
CUST00163,26,56975.66,183461.99,774,84,Yes
CUST00164,48,45712.79,78891.81,806,36,No
CUST00165,48,20774.6,63156.91,648,84,Yes
CUST00166,64,33283.82,32424.56,612,60,Yes
CUST00167,64,40695.69,22990.03,637,24,No
CUST00168,40,114629.38,327229.53,704,60,Yes
CUST00169,50,62972.22,45616.44,746,48,No
CUST00170,31,26877.19,93144.89,693,12,No
CUST00171,48,61005.32,154001.18,658,24,Yes
CUST00172,45,24433.57,67445.18,762,48,No
CUST00173,59,79794.59,98738.75,627,48,Yes
CUST00174,53,39655.86,99996.07,727,60,No
CUST00175,21,46998.16,29592.85,628,60,No
CUST00176,47,89019.3,268257.63,682,48,Yes
CUST00177,33,27467.98,27711.68,641,60,No
CUST00178,61,26141.96,67761.9,646,48,Yes
CUST00179,23,37698.68,44237.2,622,36,No
CUST00180,59,78219.2,55172.66,751,84,No
CUST00181,26,24742.91,48112.12,595,12,Yes
CUST00182,28,15000.0,15117.88,594,36,No
CUST00183,47,40013.75,107570.24,809,60,No
CUST00184,29,62836.0,76201.06,723,36,No
CUST00185,57,84129.94,128501.56,471,12,No
CUST00186,53,39798.22,87648.33,608,12,No
CUST00187,62,40735.61,55192.87,514,48,Yes
CUST00188,64,82392.96,134627.16,579,120,No
CUST00189,44,21133.53,62277.67,415,48,Yes
CUST00190,35,41157.67,42706.41,640,48,No
CUST00191,52,53406.66,39873.67,564,36,No
CUST00192,52,60002.92,89108.74,654,36,No
CUST00193,44,38971.54,69101.62,528,12,Yes
CUST00194,61,49786.47,105944.51,656,36,No
CUST00195,32,15998.54,25873.98,619,36,No
CUST00196,59,36453.33,104611.4,763,24,No
CUST00197,22,60118.86,37150.96,756,12,No
CUST00198,23,31507.08,56564.74,709,60,No
CUST00199,57,50339.38,82897.27,626,84,No
CUST00200,37,59939.6,146416.59,799,84,No
CUST00201,22,42017.98,142811.92,534,48,No
CUST00202,22,52929.11,107505.7,545,12,Yes
CUST00203,48,31785.65,109998.39,644,60,Yes
CUST00204,43,44668.55,62837.4,819,24,No
CUST00205,57,64511.4,38229.74,635,48,No
CUST00206,52,52608.76,52450.38,636,60,No
CUST00207,53,37648.97,63452.62,542,60,Yes
CUST00208,21,54225.0,78572.12,721,120,No
CUST00209,39,67614.27,53493.87,721,60,No
CUST00210,22,19487.46,35038.07,709,48,No
CUST00211,64,82585.0,125062.37,603,36,No
CUST00212,46,42137.16,36569.06,597,84,Yes
CUST00213,52,59365.62,82420.34,553,24,No
CUST00214,26,84015.88,265432.06,656,84,No
CUST00215,52,26443.0,37182.73,569,36,Yes
CUST00216,24,35623.17,94111.65,562,24,Yes
CUST00217,31,43051.53,100574.45,618,60,Yes
CUST00218,37,34451.61,61377.04,613,12,No
CUST00219,58,107014.7,130245.12,610,60,No
CUST00220,44,33337.98,53575.6,685,36,Yes
CUST00221,25,38177.59,86904.47,656,84,No
CUST00222,54,53743.34,83423.62,628,48,Yes
CUST00223,26,28539.17,32668.48,664,48,No
CUST00224,42,41025.28,34846.39,576,36,No
CUST00225,31,56548.5,177522.75,658,12,Yes
CUST00226,36,42201.57,76846.48,661,60,No
CUST00227,53,47003.43,111662.52,537,24,Yes
CUST00228,29,38630.62,76149.88,725,36,No
CUST00229,26,24797.26,77310.41,584,48,Yes
CUST00230,36,56653.95,121285.03,657,36,No
CUST00231,49,107982.01,209738.24,737,24,No
CUST00232,23,49428.41,161818.88,719,24,No
CUST00233,40,54250.57,144256.0,653,24,No
CUST00234,56,66951.6,55881.13,623,84,No
CUST00235,39,27689.3,28606.19,721,12,Yes
CUST00236,46,105464.7,301773.38,701,120,No
CUST00237,23,53693.54,161486.22,604,24,Yes
CUST00238,39,102164.1,218178.84,590,24,Yes
CUST00239,40,35246.98,76252.11,495,48,Yes
CUST00240,52,111093.54,266157.78,662,12,No
CUST00241,27,69481.79,126272.55,644,48,No
CUST00242,61,62872.74,159734.32,735,84,No
CUST00243,53,54464.86,44957.68,677,12,No
CUST00244,60,43833.87,148326.7,750,60,No
CUST00245,59,84140.16,231424.52,598,36,Yes
CUST00246,38,52216.92,124982.38,735,24,No
CUST00247,60,20227.91,29309.56,610,24,No
CUST00248,21,29651.44,29143.41,708,84,No
CUST00249,31,45087.91,77913.21,541,24,Yes
CUST00250,48,56359.13,140037.23,668,84,Yes
CUST00251,45,47788.26,114745.79,501,48,Yes
CUST00252,43,84841.23,139811.85,630,12,No
CUST00253,51,20373.78,47671.78,683,36,Yes
CUST00254,50,52292.83,153806.02,611,60,Yes
CUST00255,62,21631.58,12521.53,571,60,No
CUST00256,55,69000.6,127779.67,713,36,No
CUST00257,27,46980.77,130402.91,642,84,No
CUST00258,36,59208.74,126613.95,613,24,Yes
CUST00259,46,33231.47,81564.26,653,84,No
CUST00260,22,87182.53,178726.73,848,60,No
CUST00261,21,78337.06,272270.14,737,60,No
CUST00262,32,63741.74,42315.89,737,60,No
CUST00263,25,46245.4,91248.39,683,48,No
CUST00264,57,63636.07,49270.2,662,48,No
CUST00265,52,35664.05,34927.83,470,48,No
CUST00266,29,72041.67,118805.0,599,36,No
CUST00267,61,102977.56,99540.2,614,48,Yes
CUST00268,55,79361.98,269121.35,509,36,Yes
CUST00269,39,35301.43,117919.81,563,36,Yes
CUST00270,36,57678.39,86997.98,501,36,Yes
CUST00271,23,27394.19,66273.21,647,24,No
CUST00272,40,63422.61,133267.39,711,36,No
CUST00273,44,60040.32,176924.47,733,84,Yes
CUST00274,53,21132.82,50345.5,681,36,No
CUST00275,44,29062.31,14553.17,578,60,Yes
CUST00276,31,43156.46,120385.94,505,24,Yes
CUST00277,28,42813.69,117332.82,518,36,Yes
CUST00278,56,28445.22,57720.13,555,24,No
CUST00279,58,58398.2,187385.63,583,24,Yes
CUST00280,60,54894.21,177052.42,638,48,No
CUST00281,40,44917.33,93056.81,574,48,No
CUST00282,55,34887.85,81078.13,675,24,No
CUST00283,45,78583.59,274222.64,633,36,Yes
CUST00284,55,103252.55,144188.13,651,84,No
CUST00285,45,39434.54,58120.66,736,24,Yes
CUST00286,49,37217.15,39015.55,561,12,No
CUST00287,38,61147.45,194913.66,681,48,No
CUST00288,38,41726.29,114057.36,649,12,Yes
CUST00289,22,46040.25,37611.59,625,120,No
CUST00290,55,68380.56,235591.68,716,48,Yes
CUST00291,36,20760.13,55904.65,716,36,No
CUST00292,61,88719.59,270733.71,579,36,Yes
CUST00293,56,50650.59,32641.89,636,48,No
CUST00294,53,40734.39,82075.02,671,12,No
CUST00295,24,47091.35,122239.48,630,84,No
CUST00296,53,48198.98,102607.9,694,48,Yes
CUST00297,34,22493.0,56231.2,671,24,Yes
CUST00298,41,96059.42,283723.23,787,48,Yes
CUST00299,40,49940.95,81054.72,535,24,No
CUST00300,28,59835.29,182258.65,641,12,Yes
CUST00301,27,75221.88,74375.51,582,48,No
CUST00302,23,30960.79,40640.93,695,48,No
CUST00303,37,60661.37,38218.9,529,48,No
CUST00304,53,43458.49,69241.56,676,24,Yes
CUST00305,32,71757.44,117662.73,603,48,No
CUST00306,42,18821.36,54879.54,595,12,Yes
CUST00307,42,46882.87,115303.36,542,48,Yes
CUST00308,50,37374.01,67653.22,615,48,No
CUST00309,58,59546.83,146267.38,731,48,Yes
CUST00310,58,60567.87,39874.86,648,84,No
CUST00311,65,35652.28,37107.41,697,84,No
CUST00312,28,35579.39,84708.96,775,120,No
CUST00313,47,46639.38,113058.54,670,120,No
CUST00314,47,32745.18,92420.13,608,60,Yes
CUST00315,54,71603.03,122369.53,685,120,No
CUST00316,41,41516.94,110753.18,609,84,Yes
CUST00317,50,15000.0,38279.11,612,60,No
CUST00318,53,41412.17,140394.72,536,12,Yes
CUST00319,48,30719.57,35185.91,719,12,No
CUST00320,53,23527.52,50702.72,621,60,Yes
CUST00321,25,28089.69,64754.97,664,36,No
CUST00322,39,51494.68,180022.5,572,60,Yes
CUST00323,24,89133.31,98363.28,683,36,No
CUST00324,55,56439.98,116811.23,593,36,No
CUST00325,37,37312.12,57406.78,639,60,No
CUST00326,64,60183.7,125042.4,716,84,Yes
CUST00327,48,39871.19,47701.33,709,12,No
CUST00328,50,35861.87,23053.34,648,84,No
CUST00329,49,29159.52,64666.96,517,60,Yes
CUST00330,26,22285.18,33596.31,850,36,No
CUST00331,55,41131.7,43016.53,781,36,No
CUST00332,61,52634.34,77467.57,704,12,Yes
CUST00333,57,46935.02,30406.41,594,12,No
CUST00334,44,40652.47,136239.71,641,36,Yes
CUST00335,49,32029.55,71856.49,609,12,No
CUST00336,51,64454.24,189773.01,745,24,Yes
CUST00337,55,27100.04,47949.58,670,60,No
CUST00338,53,69509.07,223120.22,591,48,Yes
CUST00339,41,31225.87,60889.03,615,48,Yes
CUST00340,52,34940.58,77632.24,734,24,No
CUST00341,43,25335.12,50046.54,770,60,No
CUST00342,53,39119.21,105615.41,765,84,No
CUST00343,23,76030.56,167264.82,707,48,Yes
CUST00344,38,61823.12,81284.84,631,84,Yes
CUST00345,45,76137.02,71311.35,407,60,Yes
CUST00346,62,62004.62,143749.85,672,60,Yes
CUST00347,51,29832.35,58696.34,650,60,No
CUST00348,23,42240.93,33282.77,660,24,No
CUST00349,60,34506.76,58207.81,654,36,No
CUST00350,44,89210.92,182376.49,551,12,No
CUST00351,52,28608.1,85271.58,692,12,No
CUST00352,42,73288.86,53376.51,697,24,Yes
CUST00353,43,73264.34,113229.02,701,84,No
CUST00354,22,111672.87,331441.55,721,24,No
CUST00355,47,40767.52,99687.67,695,120,No
CUST00356,62,67544.71,92527.81,619,48,No
CUST00357,22,136864.04,415519.96,645,24,No
CUST00358,46,37125.57,73504.2,657,36,No
CUST00359,37,24568.78,49016.08,658,24,Yes
CUST00360,60,21036.1,72148.82,725,120,Yes
CUST00361,53,67556.56,225730.08,698,60,No
CUST00362,29,21006.4,33097.64,806,12,No
CUST00363,63,41458.84,38214.16,815,84,No
CUST00364,59,59682.31,88150.78,656,60,No
CUST00365,49,53280.68,31512.85,362,12,Yes
CUST00366,62,59364.41,33380.83,743,48,No
CUST00367,46,54178.01,91374.81,609,48,Yes
CUST00368,55,87159.03,289634.64,590,24,No
CUST00369,45,31934.99,99447.86,620,60,Yes
CUST00370,44,36147.11,73535.1,617,12,Yes
CUST00371,33,34624.03,76023.26,696,36,No
CUST00372,27,71224.09,36879.87,533,12,No
CUST00373,56,73510.19,84279.69,569,120,No
CUST00374,65,60057.12,34492.15,676,60,No
CUST00375,40,83497.52,230755.3,697,24,No
CUST00376,21,28850.47,27031.08,698,36,No
CUST00377,28,103803.07,322530.81,591,24,Yes
CUST00378,36,97290.57,236413.45,577,60,Yes
CUST00379,34,68256.63,81106.35,612,12,No
CUST00380,32,109295.39,106362.01,668,60,No
CUST00381,43,23260.68,55427.27,761,84,No
CUST00382,35,38715.62,123987.2,496,48,Yes
CUST00383,48,35210.99,93488.02,633,24,Yes
CUST00384,54,67823.61,104830.88,550,36,Yes
CUST00385,22,30559.68,69130.6,526,36,Yes
CUST00386,52,68931.8,98729.99,723,48,No
CUST00387,43,90829.67,317672.11,691,48,No
CUST00388,42,67026.36,184089.08,684,48,No
CUST00389,45,55697.36,130506.99,719,36,No
CUST00390,42,31428.08,55620.71,614,84,Yes
CUST00391,42,33487.15,78844.05,618,12,No
CUST00392,62,86019.43,131166.57,814,36,No
CUST00393,26,69613.03,40834.62,632,60,No
CUST00394,35,48167.57,81175.15,705,12,No
CUST00395,63,40616.95,133688.35,650,60,Yes
CUST00396,57,19700.25,46864.99,511,60,Yes
CUST00397,53,30276.18,22763.66,497,48,Yes
CUST00398,28,115860.09,365536.36,607,12,Yes
CUST00399,64,27551.02,35998.84,729,24,No
CUST00400,64,53383.98,65732.15,709,36,No
CUST00401,25,77137.88,107319.84,719,24,No
CUST00402,59,27869.41,62193.56,576,120,Yes
CUST00403,24,53269.53,113680.6,771,48,No
CUST00404,26,74761.77,147597.77,578,36,No
CUST00405,65,49297.31,130766.57,666,84,No
CUST00406,52,178221.31,258351.96,649,60,Yes
CUST00407,50,23135.66,65848.57,637,36,No
CUST00408,55,78938.78,80988.43,750,36,No
CUST00409,60,45353.35,129160.1,597,24,Yes
CUST00410,36,69380.7,172857.18,549,120,Yes
CUST00411,33,59789.67,152441.23,651,48,Yes
CUST00412,62,35245.03,68539.61,620,84,Yes
CUST00413,50,54341.77,135909.02,850,36,No
CUST00414,39,21246.43,15709.42,701,84,No
CUST00415,37,64309.42,196442.99,619,12,Yes
CUST00416,39,56059.63,37371.69,571,120,Yes
CUST00417,48,65342.44,61828.62,509,84,No
CUST00418,46,78917.1,176014.26,573,36,Yes
CUST00419,57,57839.6,157221.59,659,60,Yes
CUST00420,46,52398.87,38185.92,757,60,No
CUST00421,43,32975.47,107575.69,734,84,Yes
CUST00422,29,35578.64,121708.23,667,36,Yes
CUST00423,32,83619.38,193817.22,626,36,Yes
CUST00424,21,93559.32,181854.09,670,84,No
CUST00425,21,44039.86,119972.72,611,60,Yes
CUST00426,54,50046.17,74322.17,779,36,No
CUST00427,52,32627.92,64596.54,636,60,No
CUST00428,45,83095.06,269930.4,644,12,Yes
CUST00429,60,66133.95,222670.78,484,60,Yes
CUST00430,65,117424.15,385292.98,635,24,No
CUST00431,21,33016.23,42503.25,713,36,No
CUST00432,36,41352.84,49516.19,570,36,No
CUST00433,59,54401.7,75781.22,594,36,No
CUST00434,25,65573.06,119600.89,709,48,No
CUST00435,42,44486.88,64172.42,539,48,No
CUST00436,49,33095.99,53702.82,729,36,No
CUST00437,23,72884.65,172147.05,610,24,Yes
CUST00438,32,67813.12,189034.3,621,60,Yes
CUST00439,46,32457.17,87851.0,566,36,Yes
CUST00440,36,90214.84,265526.7,678,48,No
CUST00441,57,82999.46,49513.59,834,48,No
CUST00442,42,52074.64,33494.48,709,84,No
CUST00443,49,50808.5,145726.34,585,60,Yes
CUST00444,34,62901.54,132045.21,735,12,No
CUST00445,48,33264.09,74326.02,626,60,No
CUST00446,25,49687.77,32682.66,753,120,No
CUST00447,50,18609.5,23558.54,711,36,No
CUST00448,25,72722.42,175629.22,429,120,Yes
CUST00449,32,24278.05,74716.81,575,48,Yes
CUST00450,36,96426.75,313478.56,721,36,No
CUST00451,46,42253.65,84560.48,661,36,No
CUST00452,46,44567.04,95214.04,573,48,Yes
CUST00453,41,36957.35,110840.6,602,24,Yes
CUST00454,59,43061.41,90983.33,507,24,Yes
CUST00455,56,92812.73,190319.52,643,12,No
CUST00456,53,16002.27,51451.33,816,36,Yes
CUST00457,50,87084.52,249915.0,710,36,No
CUST00458,57,57074.38,184191.44,814,48,No
CUST00459,43,28476.66,32883.17,716,36,No
CUST00460,30,30215.47,62640.49,727,120,No
CUST00461,25,104232.25,315554.42,798,36,No
CUST00462,56,32033.0,26697.7,678,36,No
CUST00463,54,29172.81,84133.99,636,24,Yes
CUST00464,51,81780.29,85780.99,727,36,No
CUST00465,30,57087.98,166945.59,759,12,No
CUST00466,39,32142.47,75084.9,614,48,Yes
CUST00467,52,54040.08,58347.51,596,60,No
CUST00468,21,30896.9,59323.98,660,24,Yes
CUST00469,25,80448.27,204798.41,712,36,No
CUST00470,65,79032.7,189801.67,710,12,No
CUST00471,24,62280.45,110967.67,543,60,Yes
CUST00472,36,57684.71,184481.45,793,60,No
CUST00473,44,108286.38,222830.66,602,12,No
CUST00474,36,49013.88,98890.5,630,36,Yes
CUST00475,22,28800.75,19778.97,582,120,No
CUST00476,48,60009.81,196013.71,850,36,No
CUST00477,52,125331.96,129261.08,668,48,No
CUST00478,47,31050.13,64740.58,586,36,No
CUST00479,40,41661.88,121265.35,715,48,No
CUST00480,44,59124.5,67777.95,708,120,No
CUST00481,32,47846.0,99621.11,636,120,Yes
CUST00482,55,31506.95,38503.22,713,60,No
CUST00483,53,81213.44,225699.05,588,36,Yes
CUST00484,53,139248.91,305376.13,613,36,No
CUST00485,63,53544.01,164269.15,499,36,Yes
CUST00486,57,32635.94,103902.19,551,120,Yes
CUST00487,32,24415.36,59724.86,786,60,No
CUST00488,23,55055.07,147336.93,773,36,No
CUST00489,21,80558.98,173013.32,655,12,Yes
CUST00490,53,60707.68,100367.17,775,48,No
CUST00491,60,48967.8,119694.63,638,120,No
CUST00492,30,37602.57,121263.24,632,48,No
CUST00493,63,29987.21,52478.85,654,24,No
CUST00494,64,71370.37,103003.86,641,12,No
CUST00495,49,73953.9,123156.23,634,36,No
CUST00496,33,24450.88,44163.01,736,84,No
CUST00497,32,100250.52,72248.85,661,120,No
CUST00498,51,63470.6,126644.51,703,84,Yes
CUST00499,22,92025.19,182480.68,727,60,No
CUST00500,55,26796.93,60703.93,679,48,Yes
CUST00501,43,26512.7,42114.37,577,48,Yes
CUST00502,37,45842.36,107240.08,549,48,Yes
CUST00503,46,61466.83,192676.93,661,60,Yes
CUST00504,28,110013.94,370352.35,637,36,Yes
CUST00505,49,67355.21,151605.58,657,48,No
CUST00506,46,43949.36,27590.22,649,24,No
CUST00507,30,30888.33,105258.41,844,36,No
CUST00508,46,85263.37,223184.22,550,60,Yes
CUST00509,54,31757.45,47886.77,501,84,Yes
CUST00510,61,102008.44,96038.2,675,48,No
CUST00511,27,43132.28,40124.06,622,12,No
CUST00512,24,100284.05,100608.29,674,84,No
CUST00513,65,66537.37,42365.51,694,60,No
CUST00514,31,46090.03,147785.96,746,36,Yes
CUST00515,49,38803.73,82353.34,537,48,No
CUST00516,56,42049.02,109322.33,608,36,No
CUST00517,45,59441.18,177391.83,682,36,No
CUST00518,41,50752.72,145894.94,708,84,No
CUST00519,56,37525.83,118124.44,815,24,No
CUST00520,30,45499.92,154779.98,722,24,No
CUST00521,57,50785.17,92287.41,646,12,Yes
CUST00522,29,18808.6,63027.74,583,36,Yes
CUST00523,44,60245.05,160846.44,608,24,Yes
CUST00524,55,31543.58,22459.17,606,24,No
CUST00525,55,29173.04,74255.58,699,12,No
CUST00526,56,22941.32,58733.22,669,24,Yes
CUST00527,38,21867.32,70359.89,551,36,Yes
CUST00528,59,26636.79,43119.54,617,12,Yes
CUST00529,52,35629.9,80335.96,716,48,No
CUST00530,44,118062.17,63347.75,676,48,Yes
CUST00531,43,38690.68,57889.99,693,12,No
CUST00532,52,53102.94,36467.44,679,48,No
CUST00533,57,58701.27,121254.45,772,120,No
CUST00534,32,51998.98,153518.82,668,84,No
CUST00535,33,47341.87,52991.08,621,12,No
CUST00536,43,28627.35,59611.39,581,60,Yes
CUST00537,45,94175.69,104725.81,669,36,No
CUST00538,55,110551.69,95302.79,467,12,Yes
CUST00539,61,22989.75,46737.94,636,36,No
CUST00540,50,30920.89,22802.48,635,36,Yes
CUST00541,37,43221.15,97769.0,548,48,Yes
CUST00542,40,31759.84,18865.74,580,48,Yes
CUST00543,45,61554.89,50483.93,711,60,No
CUST00544,42,35322.57,75943.26,667,24,Yes
CUST00545,33,129868.18,295349.1,658,36,No
CUST00546,39,83763.02,49165.61,673,36,No
CUST00547,56,53941.66,119757.52,657,36,No
CUST00548,32,77819.23,234664.48,743,120,No
CUST00549,61,80632.35,215042.33,659,60,No
CUST00550,39,38033.54,33985.07,541,120,Yes
CUST00551,32,33951.97,77323.03,772,48,No
CUST00552,29,50775.25,127788.99,678,36,No
CUST00553,27,72239.07,44188.18,606,36,No
CUST00554,48,52186.4,160005.75,556,36,Yes
CUST00555,34,24109.27,77602.97,680,36,Yes
CUST00556,51,34157.21,104225.84,641,60,Yes
CUST00557,39,47415.87,141009.79,768,36,No
CUST00558,36,47379.76,129578.7,624,36,Yes
CUST00559,25,119091.09,285853.88,587,60,No
CUST00560,55,26273.22,66625.76,717,84,Yes
CUST00561,32,61544.46,179659.72,719,36,No
CUST00562,45,95807.95,238321.83,663,48,No
